age,workclass,education,education_years,marital_status,occupation,relationship,race,sex,hours_week,country,permit,stress
43,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,,Male,16,United-States,B,0
31,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,,Male,40,United-States,D,0
47,Self-emp-not-inc,Some-college,10,Divorced,Exec-managerial,Not-in-family,,Female,65,United-States,C,0
32,Private,HS-grad,9,Never-married,Sales,Own-child,,Female,35,United-States,B,0
25,State-gov,Some-college,10,Divorced,Protective-serv,Other-relative,,Male,45,United-States,A,0
33,Private,Some-college,10,Divorced,Sales,Unmarried,,Female,40,United-States,C,0
26,Private,Bachelors,13,Never-married,Sales,Not-in-family,,Female,25,United-States,A,0
38,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,,Male,50,United-States,M,1
43,Private,9th,5,Separated,Transport-moving,Unmarried,Black,Female,50,United-States,C,0
23,,Some-college,10,Never-married,,Not-in-family,,Female,35,United-States,D,0
20,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,,Male,25,United-States,B,0
51,State-gov,Bachelors,13,Widowed,Adm-clerical,Not-in-family,,Male,40,United-States,A,0
21,,Some-college,10,Never-married,,Own-child,,Female,40,United-States,D,0
33,Local-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,,Male,45,United-States,B,1
31,Federal-gov,HS-grad,9,Never-married,Transport-moving,Own-child,,Female,40,United-States,B,0
22,Private,Some-college,10,Never-married,Sales,Own-child,Black,Female,15,United-States,D,0
48,Private,Some-college,10,Separated,Adm-clerical,Unmarried,,Female,44,United-States,D,0
17,Private,10th,6,Never-married,Sales,Own-child,,Female,25,United-States,B,0
24,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,,Male,50,United-States,C,0
20,,Some-college,10,Never-married,,Own-child,Black,Female,40,United-States,B,0
47,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,United-States,A,1
47,Private,Bachelors,13,Divorced,Adm-clerical,Not-in-family,,Female,40,United-States,M,0
18,State-gov,11th,7,Never-married,Sales,Own-child,,Male,20,United-States,D,0
23,Private,10th,6,Never-married,Craft-repair,Not-in-family,,Male,40,United-States,B,0
22,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,,Female,25,United-States,B,0
22,Private,11th,7,Never-married,Other-service,Not-in-family,,Female,40,United-States,M,0
